utc,local,celsius
2017-09-01T00:07:40+00:00,2017-09-01T02:07:40+02:00,24.22
2017-09-01T00:22:40+00:00,2017-09-01T02:22:40+02:00,24.22
2017-09-01T00:37:40+00:00,2017-09-01T02:37:40+02:00,24.16
2017-09-01T00:52:42+00:00,2017-09-01T02:52:42+02:00,24.16
2017-09-01T01:07:42+00:00,2017-09-01T03:07:42+02:00,24.11
2017-09-01T01:22:43+00:00,2017-09-01T03:22:43+02:00,24.04
2017-09-01T01:37:43+00:00,2017-09-01T03:37:43+02:00,24.04
2017-09-01T01:52:43+00:00,2017-09-01T03:52:43+02:00,24.04
2017-09-01T02:07:43+00:00,2017-09-01T04:07:43+02:00,24.04
2017-09-01T02:22:43+00:00,2017-09-01T04:22:43+02:00,24.04
2017-09-01T02:37:43+00:00,2017-09-01T04:37:43+02:00,23.98
2017-09-01T02:52:43+00:00,2017-09-01T04:52:43+02:00,23.98
2017-09-01T03:07:43+00:00,2017-09-01T05:07:43+02:00,23.92
2017-09-01T03:22:44+00:00,2017-09-01T05:22:44+02:00,23.92
2017-09-01T03:37:44+00:00,2017-09-01T05:37:44+02:00,23.86
2017-09-01T03:52:44+00:00,2017-09-01T05:52:44+02:00,23.86
2017-09-01T04:07:44+00:00,2017-09-01T06:07:44+02:00,23.86
2017-09-01T04:22:45+00:00,2017-09-01T06:22:45+02:00,23.8
2017-09-01T04:37:45+00:00,2017-09-01T06:37:45+02:00,23.8
2017-09-01T04:52:45+00:00,2017-09-01T06:52:45+02:00,23.73
2017-09-01T05:07:46+00:00,2017-09-01T07:07:46+02:00,23.73
2017-09-01T05:22:46+00:00,2017-09-01T07:22:46+02:00,23.67
2017-09-01T05:37:46+00:00,2017-09-01T07:37:46+02:00,23.67
2017-09-01T05:52:46+00:00,2017-09-01T07:52:46+02:00,23.67
2017-09-01T06:07:46+00:00,2017-09-01T08:07:46+02:00,23.67
2017-09-01T06:22:46+00:00,2017-09-01T08:22:46+02:00,23.67
2017-09-01T06:37:46+00:00,2017-09-01T08:37:46+02:00,23.67
2017-09-01T06:52:46+00:00,2017-09-01T08:52:46+02:00,23.73
2017-09-01T07:07:46+00:00,2017-09-01T09:07:46+02:00,23.67
2017-09-01T07:22:46+00:00,2017-09-01T09:22:46+02:00,23.5
2017-09-01T07:37:47+00:00,2017-09-01T09:37:47+02:00,23.37
2017-09-01T07:52:47+00:00,2017-09-01T09:52:47+02:00,23.43
2017-09-01T08:07:47+00:00,2017-09-01T10:07:47+02:00,23.5
2017-09-01T08:22:47+00:00,2017-09-01T10:22:47+02:00,23.56
2017-09-01T08:37:48+00:00,2017-09-01T10:37:48+02:00,23.56
2017-09-01T08:52:49+00:00,2017-09-01T10:52:49+02:00,23.56
2017-09-01T09:07:50+00:00,2017-09-01T11:07:50+02:00,23.56
2017-09-01T09:22:50+00:00,2017-09-01T11:22:50+02:00,23.56
2017-09-01T09:37:50+00:00,2017-09-01T11:37:50+02:00,23.56
2017-09-01T09:52:50+00:00,2017-09-01T11:52:50+02:00,23.56
2017-09-01T10:07:51+00:00,2017-09-01T12:07:51+02:00,23.56
2017-09-01T10:22:52+00:00,2017-09-01T12:22:52+02:00,23.5
2017-09-01T10:37:52+00:00,2017-09-01T12:37:52+02:00,23.43
2017-09-01T10:52:53+00:00,2017-09-01T12:52:53+02:00,23.43
2017-09-01T11:07:53+00:00,2017-09-01T13:07:53+02:00,23.43
2017-09-01T11:22:53+00:00,2017-09-01T13:22:53+02:00,23.43
2017-09-01T11:37:53+00:00,2017-09-01T13:37:53+02:00,23.43
2017-09-01T11:52:53+00:00,2017-09-01T13:52:53+02:00,23.37
2017-09-01T12:07:53+00:00,2017-09-01T14:07:53+02:00,23.37
2017-09-01T12:22:53+00:00,2017-09-01T14:22:53+02:00,23.37
2017-09-01T12:37:53+00:00,2017-09-01T14:37:53+02:00,23.37
2017-09-01T12:52:53+00:00,2017-09-01T14:52:53+02:00,23.37
2017-09-01T13:07:53+00:00,2017-09-01T15:07:53+02:00,23.37
2017-09-01T13:22:53+00:00,2017-09-01T15:22:53+02:00,23.43
2017-09-01T13:37:53+00:00,2017-09-01T15:37:53+02:00,23.43
2017-09-01T13:52:54+00:00,2017-09-01T15:52:54+02:00,23.43
2017-09-01T14:07:54+00:00,2017-09-01T16:07:54+02:00,23.43
2017-09-01T14:22:54+00:00,2017-09-01T16:22:54+02:00,23.37
2017-09-01T14:37:54+00:00,2017-09-01T16:37:54+02:00,23.31
2017-09-01T14:52:54+00:00,2017-09-01T16:52:54+02:00,23.25
2017-09-01T15:07:54+00:00,2017-09-01T17:07:54+02:00,23.18
2017-09-01T15:22:54+00:00,2017-09-01T17:22:54+02:00,23.18
2017-09-01T15:37:55+00:00,2017-09-01T17:37:55+02:00,23.12
2017-09-01T15:52:55+00:00,2017-09-01T17:52:55+02:00,23.12
2017-09-01T16:07:55+00:00,2017-09-01T18:07:55+02:00,23.12
2017-09-01T16:22:55+00:00,2017-09-01T18:22:55+02:00,23.12
2017-09-01T16:37:55+00:00,2017-09-01T18:37:55+02:00,23.12
2017-09-01T16:52:55+00:00,2017-09-01T18:52:55+02:00,23.43
2017-09-01T17:07:55+00:00,2017-09-01T19:07:55+02:00,23.56
2017-09-01T17:22:55+00:00,2017-09-01T19:22:55+02:00,23.43
2017-09-01T17:37:56+00:00,2017-09-01T19:37:56+02:00,23.31
2017-09-01T17:52:56+00:00,2017-09-01T19:52:56+02:00,23.25
2017-09-01T18:07:56+00:00,2017-09-01T20:07:56+02:00,23.18
2017-09-01T18:22:56+00:00,2017-09-01T20:22:56+02:00,23.12
2017-09-01T18:37:56+00:00,2017-09-01T20:37:56+02:00,23.12
2017-09-01T18:52:56+00:00,2017-09-01T20:52:56+02:00,23.12
2017-09-01T19:07:56+00:00,2017-09-01T21:07:56+02:00,23.12
2017-09-01T19:22:56+00:00,2017-09-01T21:22:56+02:00,23.12
2017-09-01T19:37:56+00:00,2017-09-01T21:37:56+02:00,23.18
2017-09-01T19:52:56+00:00,2017-09-01T21:52:56+02:00,23.18
